county_ansi,year,pcp04,pcp05,pcp06,pcp07,pcp08,pcp09,tmp04,tmp05,tmp06,tmp07,tmp08,tmp09,pcp_win,pcp_prevND,tmin04,tmin05,tmin09,tmin10,tmax07,tmax08,tmax_jja,pdsi06,pdsi07,pdsi08,pdsi_jja,pdsi_may,zndx07,zndx08,zndx_jja,pcp_grow,pcp_critical,pcp_summer,tmp_grow,tmp_critical,tmp_summer,tmax_critical,tmax_summer,tmp_range_crit,pcp_grow_cv,tmp_grow_sd,pdsi_critical,zndx_critical,drought_flag,severe_drought,hot_month_count,dry_month_count,heat_x_dry,pcp_grow_anom,pcp_grow_z,pcp_critical_anom,pcp_critical_z,pcp08_anom,pcp08_z,tmp_grow_anom,tmp_grow_z,tmp_critical_anom,tmp_critical_z,tmax_critical_anom,tmax_critical_z,tmax08_anom,tmax08_z,pdsi08_anom,pdsi08_z,zndx08_anom,zndx08_z,climate_normal_pcp,climate_normal_tmax
001,1895,4.34,3.65,5.33,2.65,6.66,4.31,53.8,61.8,69.3,71.5,71.9,67.0,,,40.1,48.5,54.3,30.9,84.6,84.8,83.89999999999999,0.35,0.22,0.97,0.5133333333333333,0.19,-0.28,2.32,0.8666666666666666,26.94,9.31,14.64,65.88333333333333,71.7,70.9,84.69999999999999,83.89999999999999,42.099999999999994,0.30797199832488587,6.976364860489071,0.595,1.02,0,0,0,0,-196.50399999999996,2.851590909090909,0.49717265228859187,1.324696969696971,0.37061870290010634,2.4911363636363637,1.005439993222988,0.9333333333333229,0.5773558907691253,-1.5159090909090907,-0.6418687148069109,-0.3375000000000199,-0.10631088636034174,0.9219696969696969,0.2622737667158845,0.8087121212121212,0.3048303366684975,2.2920454545454545,1.0327324366815303,7.9853030303030295,85.03750000000001
001,1896,3.55,7.02,3.99,10.19,5.16,4.3,54.3,64.8,69.5,72.4,70.8,57.9,2.1,2.38,41.3,53.1,46.2,33.8,84.6,83.0,83.26666666666667,0.66,2.74,3.03,2.143333333333333,0.98,6.42,1.73,2.5066666666666664,34.21,15.35,19.34,64.95,71.6,70.89999999999999,83.8,83.26666666666667,43.8,0.4416187315212223,7.396958834548157,2.885,4.075,0,0,0,0,-144.974,10.121590909090909,1.7646914855879843,7.36469696969697,2.060467035555925,0.9911363636363637,0.4000295420532297,0.0,0.0,-1.6159090909090992,-0.684210878902123,-1.2375000000000114,-0.38980658332123364,-0.8780303030303003,-0.2497742774229328,2.868712121212121,1.0813124457729268,1.7020454545454544,0.7668947167385205,7.9853030303030295,85.03750000000001
001,1897,6.59,2.33,4.29,2.97,2.44,1.51,47.3,58.1,69.4,75.1,68.7,71.1,2.92,2.27,35.7,43.9,56.3,42.0,87.6,81.3,83.46666666666665,-0.54,-0.67,-1.02,-0.7433333333333333,-0.44,-0.57,-1.25,-0.75,20.130000000000003,5.41,9.7,64.95,71.9,71.06666666666666,84.44999999999999,83.46666666666665,35.29999999999999,0.5460251264696007,10.326228740445371,-0.845,-0.9099999999999999,0,0,0,1,105.56249999999999,-3.9584090909090897,-0.6901455395640712,-2.5753030303030293,-0.7205085317617635,-1.7288636363636365,-0.6977814094012653,0.0,0.0,-1.3159090909090878,-0.5571843866164926,-0.5875000000000199,-0.18505969107170134,-2.578030303030303,-0.733375207998484,-1.1812878787878789,-0.4452664580488882,-1.2779545454545456,-0.5758110551770198,7.9853030303030295,85.03750000000001
001,1898,1.9,5.16,6.24,2.83,1.33,2.6,47.7,59.5,71.2,72.4,73.1,65.0,4.42,1.78,34.6,47.6,52.4,36.0,85.6,86.3,84.76666666666667,-1.21,-1.15,-1.75,-1.37,-1.78,-0.19,-2.16,-0.4000000000000001,20.060000000000002,4.16,10.4,64.81666666666666,72.75,72.23333333333333,85.94999999999999,84.76666666666667,41.749999999999986,0.5775661880221241,9.88077257438236,-1.45,-1.175,0,0,0,1,185.652,-4.02840909090909,-0.702349985001617,-3.8253030303030293,-1.0702287992815938,-2.8388636363636364,-1.1457851432668864,-0.13333333333333997,-0.08247941296702292,-0.4659090909090935,-0.1972759918072226,0.9124999999999801,0.2874331371964563,2.421969696969697,0.6889804701648996,-1.9112878787878789,-0.720427593799487,-2.1879545454545455,-0.985831945258611,7.9853030303030295,85.03750000000001
001,1899,1.97,6.51,4.12,4.58,4.48,0.71,47.4,59.6,70.2,72.3,73.9,61.7,1.5499999999999998,2.06,34.3,47.8,47.5,42.7,85.2,85.7,84.23333333333333,0.52,0.9,0.99,0.8033333333333333,0.8,1.29,0.56,0.4166666666666667,22.37,9.06,13.18,64.18333333333332,73.1,72.13333333333334,85.45,84.23333333333333,40.35,0.5546761473139448,10.053341069846715,0.9450000000000001,0.925,0,0,0,0,-47.852000000000004,-1.7184090909090912,-0.2996032855626081,1.074696969696971,0.30067464939614036,0.311136363636364,0.12557680418960607,-0.7666666666666799,-0.4742566245603664,-0.11590909090909918,-0.04907841747399519,0.4124999999999943,0.12993552777374157,1.8219696969697026,0.5182977887852952,0.8287121212121212,0.31236899792193856,0.5320454545454546,0.2397250009193319,7.9853030303030295,85.03750000000001
001,1900,2.16,3.32,3.44,5.36,4.94,4.53,52.0,63.1,69.8,74.4,76.8,64.9,2.77,2.41,39.3,50.8,51.8,46.7,87.2,89.6,86.53333333333335,-1.84,0.49,0.62,-0.2433333333333333,-1.61,1.48,0.52,0.2666666666666666,23.750000000000004,10.3,13.740000000000002,66.83333333333333,75.6,73.66666666666667,88.4,86.53333333333335,39.150000000000006,0.30242613438491517,8.978789821945197,0.5549999999999999,1.0,0,0,1,0,-45.968,-0.33840909090908866,-0.05900136122242037,2.3146969696969713,0.6475971547758118,0.771136363636364,0.31123600921499855,1.8833333333333258,1.165021708159136,2.384090909090901,1.0094756849062176,3.362499999999997,1.0591714233677858,5.721969696969694,1.627735217752732,0.45871212121212124,0.17290376473327893,0.49204545454545456,0.2217021046520092,7.9853030303030295,85.03750000000001
001,1901,2.43,2.77,5.43,2.22,1.08,3.45,48.3,59.7,72.0,81.9,73.8,63.2,1.96,0.97,35.7,46.3,50.3,41.0,96.2,88.5,89.86666666666667,-0.29,-0.84,-1.81,-0.98,-0.43,-1.75,-3.16,-1.54,17.38,3.3000000000000003,8.73,66.48333333333333,77.85,75.89999999999999,92.35,89.86666666666667,46.699999999999996,0.5053956244779553,11.908554348310576,-1.325,-2.455,0,0,2,2,291.826,-6.708409090909093,-1.1696058960390827,-4.685303030303029,-1.3108363433352366,-3.0888636363636364,-1.246686885128513,1.5333333333333314,0.9485132491207152,4.634090909090901,1.9621743770484095,7.312499999999986,2.3034025378072642,4.6219696969697,1.3148169685567892,-1.971287878787879,-0.7430435775598102,-3.1879545454545455,-1.436404351941678,7.9853030303030295,85.03750000000001
001,1902,1.1,5.31,6.57,9.82,6.81,5.63,47.7,63.2,64.6,72.0,68.4,57.8,2.22,1.99,33.7,51.1,46.7,40.6,82.6,78.7,78.89999999999999,0.8,2.8,3.6,2.4,0.12,6.25,3.27,3.8666666666666663,35.24,16.63,23.2,62.28333333333333,70.2,68.33333333333333,80.65,78.89999999999999,37.0,0.48217340973797196,8.611716824574914,3.2,4.76,0,0,0,0,-263.7255,11.15159090909091,1.944271182740443,8.64469696969697,2.418580589496231,2.641136363636363,1.0659810383399635,-2.6666666666666714,-1.6495882593403792,-3.0159090909090907,-1.2770011762350386,-4.387500000000003,-1.382041522684362,-5.178030303030297,-1.473000160643442,3.4387121212121214,1.2961642914959972,3.2420454545454547,1.4607762230304442,7.9853030303030295,85.03750000000001
001,1903,1.98,12.37,4.16,3.72,9.23,2.44,50.0,60.9,63.4,72.6,68.5,60.1,3.23,3.9,36.9,50.0,48.6,39.1,84.2,79.3,79.36666666666667,4.04,3.82,5.07,4.31,4.43,0.61,4.91,1.906666666666667,33.9,12.950000000000001,17.11,62.583333333333336,70.55,68.16666666666667,81.75,79.36666666666667,37.9,0.7412223713610463,7.789073543539478,4.445,2.7600000000000002,0,0,0,0,-401.3925,9.811590909090906,1.7106432272217098,4.964696969696972,1.3890041219178517,5.061136363636364,2.0427098995605073,-2.366666666666667,-1.4640095801645843,-2.6659090909090963,-1.1288036019018113,-3.2875000000000085,-1.0355467819543815,-4.578030303030303,-1.3023174792638375,4.908712121212122,1.8502558936239153,4.882045454545454,2.199714969990674,7.9853030303030295,85.03750000000001
001,1904,4.68,3.96,3.18,4.95,3.79,2.39,43.4,59.2,66.7,70.0,68.9,63.9,1.89,0.96,31.1,45.9,51.8,41.0,81.6,81.5,80.73333333333333,2.21,2.56,2.46,2.41,2.84,1.73,0.49,0.3966666666666666,22.95,8.74,11.920000000000002,62.01666666666667,69.45,68.53333333333333,81.55,80.73333333333333,35.15,0.24778328611880288,9.910684470139623,2.51,1.1099999999999999,0,0,0,0,-39.9595,-1.138409090909093,-0.1984807376515152,0.7546969696969708,0.21114626091106375,-0.3788636363636364,-0.1529120033484829,-2.93333333333333,-1.8145470852744119,-3.7659090909090907,-1.5945674069491025,-3.4875000000000114,-1.0985458257234701,-2.3780303030303003,-0.6764809808719479,2.2987121212121213,0.8664606000498567,0.46204545454545454,0.20818493245151717,7.9853030303030295,85.03750000000001
